2017-07-17-14-29-40-582  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-14-29-40-584  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-14-29-40-586  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-14-29-40-593  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-14-29-40-594  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-14-29-40-628  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08571998创建成功, new socket 3408, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:47069
 
2017-07-17-14-29-40-628  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08571998准备发送数据0, localport=47069, RemotePort=10002, unDataLen=356 

2017-07-17-14-29-40-628  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08571998成功发送数据*, localport=47069, RemotePort=10002, unDataLen=356 

2017-07-17-14-29-40-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08571998回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08571998准备发送数据0, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-703  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08571998成功发送数据*, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-722  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08571998回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-760  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-760  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08571998回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-760  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08571998准备发送数据0, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-760  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08571998成功发送数据*, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-817  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-817  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08571998回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-817  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08571998准备发送数据0, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-817  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08571998成功发送数据*, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-874  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-874  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08571998回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-874  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08571998准备发送数据0, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-874  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08571998成功发送数据*, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-932  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-932  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08571998回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

2017-07-17-14-29-40-932  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08571998准备发送数据0, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-932  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08571998成功发送数据*, localport=47069, RemotePort=10002, unDataLen=52 

2017-07-17-14-29-40-988  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08571998回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:47069 

