2017-07-17-18-58-17-534  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-18-58-17-537  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-58-17-538  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-58-17-545  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-18-58-17-546  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-18-58-17-582  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08EF18A8创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:13745
 
2017-07-17-18-58-17-582  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=356 

2017-07-17-18-58-17-582  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=356 

2017-07-17-18-58-17-659  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-659  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-659  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-659  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-689  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-689  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-736  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-793  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-793  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-793  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-793  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-851  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-851  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-852  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-852  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-909  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-909  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-909  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-909  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-966  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-966  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08EF18A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

2017-07-17-18-58-17-966  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08EF18A8准备发送数据0, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-17-966  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08EF18A8成功发送数据*, localport=13745, RemotePort=10002, unDataLen=52 

2017-07-17-18-58-18-022  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08EF18A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:13745 

